Questions,Correct,A,B,C,D
Tarsals are located in what part of the body?, Foot or eyelid,None of these,Foot or eyelid,Elbows,Hands
Which of the following describes the route of pulmonary circulation?, R. ventricle to R. and L. pulmonary arteries to R  L lung,L atria to R pulmonary artery to R lung,L. ventricle to L pulmonary artery to L lung,R ventricle to R pulmonary artery to R lung,R. ventricle to R. and L. pulmonary arteries to R  L lung
How long on average does it take for the suns rays to reach earth?, just over 8 minutes,just over 8 hours,just over 80 minutes,just over 8 seconds,just over 8 minutes
What animal has the broadest visual color spectrum?, Butterfly,Elephant,American Kestrel Falcon,Butterfly,Bumblebee
What place has the maximum amount of sunshine in the US?," Yuma, Arizona","Anchorage, Alaska","Houston, Texas","St Petersburg, Florida","Yuma, Arizona"
What is the largest number mentioned in the Bible?," 1,000,000","1,000,000","30,000","400,000","100,000"
Which animal has the longest gestation period?, Black Salamander,Polar Bear,Black Salamander,Dung Beetle,Sumatran Rhino
How often does Halleys comet appear?, Every 76 years,Every 100 years,Every 30 years,Every 25 years,Every 76 years
How much does human hair grow in a year?, 9 inches,9 inches,7 inches,12 inches,4 inches
Which natural disaster claimed the most lives during the second millennium?, influenza,earthquakes,influenza,tsunami,plague
This term is commonly used to refer to a person who becomes overly upset or angry when confronted with an issue., defensive,defensive,repressed,caustic,sublime
This term refers to a division of the psyche dominated by the pleasure principle., id,id,superego,libido,ego
This complex is a phase in child development characterized by jealousy and rivalry with the same sex parent., Oedipal complex,Messianic complex,Electra complex,Castration complex,Oedipal complex
"Of the four nucleotides that make up Deoxyribo-Nucleic Acid (DNA), which of the following is a purine?", Adenine,Adenine,Cytosine,Proline,Thymine
How many paired DNA chromosomes are there in a human male?, 23,23,18,20,24
Which of the following models of double-stranded DNA replication proved to be correct?, Semiconservative replication,Semiconservative replication,Semidispersive replication,Conservative replication,Dispersive replication
What is the name for a unit of DNA usually consisting of regulatory regions and a protein-encoding region?, Gene,Chromosome,Gene,Codon,Transcript
Transcription is the process of creating what from the DNA template?, RNA,RNA,Fatty Acids,Protein,A Double Helix
How many nucleotides of DNA does it take to encode a single amino acid in a given protein?, 3,10,3,25,1
"This class of enzyme can cut DNA at a specific place, making biotechnology possible.", Restriction Enzyme,Restriction Enzyme,Bayton Enzyme,Electrophoretic Enzyme,Limiting Enzyme
What is the three-letter acronym for the Nobel-winning process which allows DNA to be amplified?, PCR,HCV,ATP,PCR,SRC
What makes retroviruses such as HIV so unusual with respect to DNA?," They start with RNA and encode DNA, the reverse of what cells do.","Their DNA reads 3 to 5, the opposite direction from cellular DNA.",They capture the cellular DNA and transfer it to other cells.,"They have no DNA, but their protein components directly encode for RNA.","They start with RNA and encode DNA, the reverse of what cells do."
"When Dr. Craig Venters private company, Celera, declared that they would beat the Human Genome Project in sequencing all human DNA, what did Venter tell Dr. Francis Collins, director of the HGP?", You can do mouse.,The private sector always wins.,You can do mouse.,Just send me all your grant money.,Why dont you try something easier?
The Golgi apparatus found in most eukaryotic cells participates in the sorting and modification of what type of organic compounds?, Proteins,Water molecules,Carbohydrates,Lipids,Proteins
"The cell has up to several thousands of these tiny organelles scattered in its cytoplasm. They are often called cellular power plants, because they convert organic materials into energy.", Mitochondria,Mitochondria,Vacuoles,Chloroplasts,Ribosomes
Plastids are major cell organelles found in which of these groups of organisms?, Plants and algae,Algae,Plants,Plants and animals,Plants and algae
The process of photosynthesis is carried out by which of these major cell organelles?, Chloroplasts,Mitochondria,Ribosomes,Chloroplasts,Vacuoles
Which of these is not among the vacuoles functions in the cell?, Production of ATP,Exporting unwanted substances,Capturing food materials,Production of ATP,Maintaining the internal pH
"Typical for the animal cells only, lysosomes are organelles built in the Golgi apparatus that contain what type of enzymes?", Digestive enzymes,Inhibitors,Digestive enzymes,Amylase enzymes,Restriction enzymes
Which organelle makes up the cells translational apparatus that translates Messenger RNA (mRNA) into polypeptide chains?, Ribosome,Lysosome,Mitochondrion,Ribosome,Golgi apparatus
Cell nuclei have two primary functions in the cell. The first is to to store genetic information needed for cellular division. What is the second one?, To control chemical reactions,To maintain an acidic internal pH,To remove unwanted structural debris surrounding the cell,To control chemical reactions,To maintain internal hydrostatic pressure
Which of the following organelles is typical for animal cells only?, Melanosome,Nucleolus,Vacuole,Melanosome,Golgi apparatus
Which one of these organelles is a part of the endomembrane system of eukaryotic cells?, Endoplasmic reticulum,Chloroplast,Mitochondrion,Endoplasmic reticulum,Nucleus
Name he glands that produce hormones., endocrine glands,salivary glands,sweat glands,endocrine glands,oil glands
This term refers to the organs that fill your abdominal cavity and chest., viscera,immune system,circulatory system,cementum,viscera
What is the biggest artery in the human body?, aorta,umbilical,pulmonary,systemic,aorta
What part of the nervous system regulates involuntary actions such as heartbeat or digestion?, autonomic nervous system,central nervous system,peripheral nervous system,involuntary nervous system,autonomic nervous system
"Dental caries, commonly known as a cavity, is one of the most common health disorders, second only to this one.", Cold,Cold,Mumps,Fever,Sore throat
"A caries is formed as a result of food debris. Food remnants mix with saliva and bacteria, and result into this mixture that glues to the teeth.", Plaque,Starch,Dirt,Amalgam,Plaque
Plaque and bacteria begin to accumulate approximately this long after eating., 20 minutes,20 minutes,30 minutes,5 minutes,60 minutes
"This is one of the first symptoms of dental caries.  It is most pronounced when consuming sweet, hot or cold foods and liquids.", Toothache,Numbness,Bad breath,Toothache,Saliva overproduction
"Cavities are generally painless. However, if not treated, they enlarge and eventually become painful as they reach the internal structure of the tooth, especially this part.", Dentin,Dentin,Enamel,Calculus,Root
"Despite its natural origins, this food is particularly bad for your teeth; it is sticky and contains concentrated fruit sugar.", Dried fruits,Puree,Chocolate Milk,Dried fruits,Juice
This substance is a substitute for sugar that can help prevent tooth decay. It decreases plaque formation and blocks the bacteria from producing the acids that cause cavities., Xylitol,Aspartame,NutraSweet,Xylitol,Dentin
This substance is naturally present in water. It keeps the enamel strong and can stop or even reverse the process of tooth decay., Fluoride,Nitrite,Nitrate,Chlorine,Fluoride
You might not be successful at exterminating microbes - they have been around this long., 3.8 billion years,5 billion years,3.8 billion years,7 billion years,3 billion years
Bacteria consist of this number of cells., 1,Billions,3,1,Millions
People use a kind of microbe to make this., Bread,Mineral water,Bread,Orange juice,Plastics
"Of all the microbes on Earth, only about this many have been identified.", 5 %,1 %,5 %,2 %,10 %
Lactic acid bacteria help achieve this., Keep vegetables fresher,Preserve pollen aroma,Keep vegetables fresher,Prevent milk from turning into yogurt,Keep honey diluted in water
"Bacillus Thuringiensis, which is usually found naturally in the soil, is used as this.", Insecticide,Beer additive,Food additive,Insecticide,Wine ferment agent
There are billions of these microscopic creatures in your bed and they feed on this., Dead skin cells,Wood,Dead skin cells,Cotton fibres,Sweat
"This is why Mycobacterium Tuberculosis, the bacteria which causes tuberculosis is called the literary microbe.", Many writers caught tuberculosis,There is a lot to read about it,It is discussed in many scientific books,It is mentioned in many literary works,Many writers caught tuberculosis
There is proof that microbes existed on this planet., Mars,Pluto,Mars,The Sun,Neptune
Microbes are generally considered to be this., Both harmless and deadly.,Harmless,Illness-causing,Deadly,Both harmless and deadly.
What is a difficult patient in medical jargon?, A patient who upsets the doctor or the office staff in some way,A patient who upsets the doctor or the office staff in some way,A patient who has a disease which is difficult to treat,A patient who is terminal,An insane patient
What is called a capitated plan in the medical fields?," An insurance plan, which pays the doctor a certain amount per month",A treatment plan which relates to the patients head.,"An insurance plan, which pays the doctor a certain amount per month","An insurance plan, which only covers up to a certain amount per visit",A treatment plan which has a definite endpoint.
What does the term a positive review of systems refer to?," To every symptom question, the patient says yes","To every symptom question, the patient says yes",The patient reviews his symptoms well,A favorable review of systems,"To every symptom question, the patient says no"
"If the nurse writes NKDA on your chart, what does it mean?", You told the nurse you are not allergic to any medications.,Your vital signs are WNL (within normal limits).,You told the nurse you are not allergic to any medications.,You did not pay your bill.,You missed an appointment.
"If the nurse approaches the doctor and says, Doctor, theres a code in the lobby, what is the doctor likely to do?", Tell the nurse to call 911,Say thank you and resume what he was doing,Go home because the office is closed for the day,Pull out his wallet,Tell the nurse to call 911
"Choose the correct ordering of these medical jobs abbreviations, in increasing order of salary."," MA, LPN, RN, PA, MD","MA, LPN, PA, RN, MD","MA, PA, LPN, RN, MD","MA, LPN, RN, PA, MD","LPN, MD, PA, MA, RN"
"In medical practice, what is the purpose of a chaperon?", To protect doctors against lawsuits by patients for inappropriate sexual advances,To distract the patient when the doctor is performing a painful procedure,To keep male and female patients apart,To keep male and female employees from behaving inappropriately in the office,To protect doctors against lawsuits by patients for inappropriate sexual advances
Which of the following abbreviations pertains to a diagnosis?, ICD-9 Code,EM Code,CPT Code,ICD-9 Code,G-code
"In medical jargon, what is a Well Woman Exam?", A routine gynaecologic exam,A full physical examination on a female adult who has no medical problems,An exam on the doctor by a female who is well,An exam on a female which finds herself to be well,A routine gynaecologic exam
Why do two patients sometimes have appointments with the same doctor at the same time?, Because of no-shows,Because the doctors time is more valuable than the patients time,Usually due to a scheduling error,Because of no-shows,To make the patients angry
Which sitcom aired on ABC from 1952 to 1966 after a ten-year run on radio?, Ozzie and Harriet,Friends,The Simpsons,Frasier,Ozzie and Harriet
Which of the following comedies has been on TV the most number of years?, The Simpsons,The Simpsons,Seinfeld,Ozzie and Harriet,M*A*S*H
This is considered the first  American sitcom with a gay character., The Corner Bar,The Nancy Walker Show,Soap,Barney Miller,The Corner Bar
In what year was the word bastard first used on TV?, 1974,1964,1974,1960,1984
Which show was the first to have an episode which dealt with abortion?, Maude,Room 222,All in the Family,Good Times,Maude
In which country was the term television coined?, France,Canada,The USA,The United Kingdom,France
What year marked the first broadcast of a baseball game?, 1939,1949,1939,1946,1929
Who was the first US President to address the nation on TV?, Truman,Hoover,Truman,Eisenhower,FDR
"The first scheduled TV  broadcasts, which began in 1928, originated in which US state?", New Jersey,California,New Jersey,New York,Massachusetts
Which company paid for the first TV ad?, Bulova (watches),Dawn (dishwashing detergent),Bulova (watches),Colgate (toothpaste),Tide (laundry detergent)
Which was the first soap opera broadcast on an American television network?, Faraway Hill,Faraway Hill,Halls of Ivy,Love of Life,Love of Ivy
Which of these television networks came first?, NBC,NBC,CBS,ABC,Fox
Which of the following was the first womens advocacy show?, Leave It To The Girls,Leave It To The Girls,The Ladies Hour,The Ladies Home Journal Hour,Girl Talk
Which game show was hit by a scandal in 1958?, Twenty-One,Twenty-One,Jeopardy,"The $64,000 Challenge","The $64,000 Question"
"This popular police show, which ran from 1951 to 1959, is famous for its very quick paced and to the point dialogue. It starred Jack Webb as police detective Joe Friday, badge#714.", Dragnet,Dragnet,Los Angeles Precinct,The Streets of San Francisco,Men on the Streets
What was the occupation of TV personality Harry Volkman?, TV weatherman,TV weatherman,TV variety show host,TV news caster,TV game show host
Containers used for disposing of needles and other sharp objects must be all of the following except which one?, Recyclable,Disposable,Clearly Marked bio-hazard,Puncture resistant,Recyclable
For which of the following tubes is the blood to additive ratio most critical?, Light Blue stopper,Lavender Stopper,Light Blue stopper,Green Stopper,Red Stopper
Which type of patient is most likely to have an AV fistula or graft?, Dialysis,Arthritic,Wheelchair-bound,Hospice,Dialysis
Which of the following is NOT needed for skin puncture?, povidone-iodine pad,Lancet,povidone-iodine pad,Micro-collection device,Gauze pad
In what type of tube is blood drawn for a substance abuse test?, Red,Light blue,Dark Green,Small Lavender,Red
What vein is usually the first choice when selecting a site for venipuncture?, Median Cubital,Median Cubital,Accessory Cephalic,Cephalic,Basilic
Which part of a cell contains the chromosomes or genetic material?, Nucleus,Endoplasmic Reticulum,Cytoplasm,Golgi Apparatus,Nucleus
How many bones is an adults human skeletal system made up of?, 206,132,318,206,354
What marrow produces blood cells in the human body?, Red marrow,Blue marrow,Yellow marrow,Green marrow,Red marrow
In some animals life cycle there are several stages of development involving abrupt bodily changes. What is this biological process called?, Metamorphosis,Birth,Adolescence,Growth,Metamorphosis
What do you call the transfer of pollen grains from the anther to the stigma of flowers?, Pollination,Reproduction,Fertilization,Pollination,Migration
What is the smallest basic particle of matter?, Atom,Atom,Mass,Volume,Molecule
What do you call the force which slows down and stops a moving object?, Friction,Friction,Gravitational force,Magnetic force,Molecular force
"The Baroque period of architecture is characterized by vivid colours, luxurious materials and elaborate surface textures. Which of these buildings is an example of typical Baroque architecture?", St Peter’s Basilica,The Royal Scottish Academy,St Peter’s Basilica,Solitude Palace,Lincoln Memorial
"When a client complained that the roof in his building leaks, this famous architect who had designed the building replied: ‘That’s how you can tell it’s a roof’.  Another work of his was the Guggenheim Museum in New York.", Frank Lloyd Wright,Aldo Rossi,Frank Lloyd Wright,Michael Graves,Frank Owen Gehry
This annually awarded architecture prize is usually referred to as ‘The Nobel Prize for Architecture’., Pritzker Architecture Prize,Thomas Jefferson Medal,Aga Khan Award,Pritzker Architecture Prize,Stirling Prize
"This architecture style is characterized by the use of materials such as stainless steel and aluminium. It aimed at nontraditional elegance that symbolizes wealth and sophistication.  It originated in Europe in 1920s and formed its name in 1925 at the World’s Fair, held in Paris.", Art Deco,Archigram,Rococo,Art Deco,Baroque
"Sharply pointed spires, stained glass and pointed arches are typical for this architecture style. It is mainly associated with cathedrals and other religious buildings.", Gothic,Rococo,Gothic,Neo-Grec,Art Nouveau
"This Spanish architect designed La Sagrada Familia, one of the most famous buildings in Barcelona.", Antonio Gaudi,Carlo Scarpa,Mario Botta,Alvar Aalto,Antonio Gaudi
"There are seven tall buildings in Moscow, regarded as typical examples of Stalinist Architecture. What are these similarly designed buildings referred to?", ‘Stalin’s Seven Sisters’,‘Stalin’s Seven Wonders’,‘Stalin’s Seven Giants’,‘Stalin’s Seven Brothers’,‘Stalin’s Seven Sisters’
"The groundbreaking design of this building was created by Danish architect, Jorn Utzon. It is located by the sea, and its roof resembles white sails.", Sydney Opera House,Metropolitan Opera,Carnegie Hall,La Scala,Sydney Opera House
"The construction of this famous building was completed on November 1st, 1800. It was designed by Irish-born architect James Hoban, who was inspired by the Leinster House in Dublin.", The White House,Williams Tower,Federal Hall,The White House,The Chrysler Building
"This architectural term, which refers to a free-standing bell-tower, comes from Italian and means a high bell tower.", Campanile,Campanile,Cellula,Mensole,Triforium
"In The Wizard of Oz movie, Scarecrow states which very important mathematical theorem?", The Law of Pythagoras,Euclids Fifth Postulate,The Law of Pythagoras,Eulers Theorem,Newtons Axiom
"In this movie Ayla, played by Daryl Hannah, teaches her new family to count all the way to ten.", The Clan of the Cave Bear,The Clan of the Cave Bear,Caveman and Cavewoman,Way of the Caveman,Land of the Tribe
"In which movie does Edward James Olmos play a teacher in Los Angeles who gets an entire class of low-income, Hispanic students to pass the Advanced Placement Calculus test?", Stand and Deliver,Stand and Deliver,Proof,Stand By Me,Pi
Proof was originally a play about a brilliant mathematician who worries about inheriting her fathers insanity. Which actress was the star of the 2005 movie of the same name?, Gwyneth Platrow,Gwyneth Platrow,Kate Blanchett,Claire Danes,Kirsten Dunst
In this fine movie Dustin Hoffman plays a mathematician who gets tired of being picked on., Straw Dogs,Straw Dogs,Sunday Father,The Point,Sphere
In which movie does Bud Abbott “prove to Lou Costello that 13 x 7 = 28?, In the Navy,Splinters in the Navy,Youre in the Navy,Francis in the Navy,In the Navy
Which of these is a movie about a mathematician who develops a formula that predicts the prices of stock markets?, The Bank,The Bank,The Puzzle,The Formula,The Tricks
What 1997 movie featured Cartesian co-ordinates (the usual type of graph paper) and factoring numbers?, Cube,Cube,The Sphere,Gleaming the Cube,Proof
"In this film, high school student Max Fisher, played by Jason Schwartzman, is asked to use calculus to find the area of an ellipse.", Rushmore,Mr. Novak,Room 222,Rushmore,The High School
"In the movie “Little Big League, the hero must solve this problem: John can finish a job in five hours. Mary can finish the same job in three hours. If they work together, how long will it take to finish the job? What is the answer?", 1 and 7/8 hours,1 and 7/8 hours,4 hours,1 and 1/4 hours,2 hours
A lightning bolt can produce what voltage?, 1 billion volts,4 million volts,400 million volts,1 million volts,1 billion volts
What does the term bolts from the blue mean?, Horizontal lightning that seems to come from no where,Horizontal lightning that seems to come from no where,Lighting strikes on a clear day,Blue vertical lightning bolts,Lightning over an ocean
"According to the U.S. National Weather Service, after you see and hear the last flash of lightning and roar of thunder, you should wait how long before presuming outdoor activities?", 30 minutes,1 hour,2 hours,30 minutes,10 minutes
What did early Greeks believe lightning was?, The weapon of Zeus,The weapon of Zeus,A warning from Minerva,The sign of death,A symbol of good fortune
Which of Santa Klaus reindeers’ name means lightning?, Blitzen,Dasher,Prancer,Blitzen,Donner
"Between 1997 and 2006, there were how many reported deaths from lightning?", 437,393,437,750,825
Which statement concerning whales is true?, Some whales have one blow hole and some have two.,All whales have two blow holes.,Some whales have one blow hole and some have two.,Every whale has exactly one blow hole.,Only some whales have blow holes.
Which of these statements is true?, Humans and elephants are the only mammals that cry.,Humans are the only mammals that cry.,All land mammals cry.,Humans and elephants are the only mammals that cry.,All mammals cry.
What is the meaning of plasmodium?, The parasite that causes malaria,The parasite that causes malaria,The part of the blood that covers red and white blood cells and platelets,The liquid-like substance found in animal and plant cells,The gel-like substance that holds fish eggs together
Quickly calculate 95^2 (i.e. 95X95). What is the result?, 9025,810025,8125,9025,"987,654,321"
What molecule has the formula O3?, Ozone,Ozone,Tritium,Deuterium,Peroxide
Which of these is hottest?, a lightning bolt,the surface of the sun,a lightning bolt,the laser used in eye surgery,a microwave oven
"All telephones in the USA were shut down on August 2, 1922. Why?", It was the day when Alexander Graham Bell died.,The International Brotherhod of Communications Workers went on strike.,"The electrical workers in New York, Chicago, and Washington went on strike.",It was the day when Alexander Graham Bell died.,It was the day  for the Orson Welles  War of the Worlds radio telecast.
"In 1989, a Mastiff was recognized by the Guinness Book of World Records as the heaviest dog in the world. What was the weight of the dog?", 343 pounds,182 kilograms,173 pounds,298 pounds,343 pounds
Which of these events occurred in 1589?, Sir John Harington invented the modern flush toilet.,Sir Thomas Crapper invented the modern flush toilet.,Zacharias Hanssen invented the modern flush toilet.,Sir John Harington invented the modern flush toilet.,Otto von Guericke invented the modern flush toilet.
Which of these animals makes the loudest noise?, The humpback whale,The humpback whale,The Andean condor,The whale shark,The howling monkey
Who invented the water thermometer?, Galileo,Galileo,Fahrenheit,Celsius,Santorio Santorio
In which city was Albert Einstein born ?, Ulm,Ulm,Berlin,Bonn,Munich
"Einsteins father owned a company that made small magnetos, which he was later forced to sell to this, much larger corporation.", Siemens,"Bavarian Electrical Supplies , GmbH",Siemens,Krups,BMW
In which year was Albert Einstein born?, 1879,1869,1899,1889,1879
"During this year, Einstein had three incredible papers published in the physics journals, and obtained his doctoral degree.", 1905,1905,1912,1907,1929
In which US city did Einstein live out his last years?," Princeton, New Jersey","Cambridge, Massachusetts","New Haven, Connecticut","Boca Raton, Florida","Princeton, New Jersey"
Which type of car did Einstein own while in the USA ?, None,Buick,Packard,Ford,None
"What important thing did Einstein do on August 2nd, 1939?", He wrote a letter,He proved the Theory of Special Relativity,He found the speed of light,He wrote a letter,He proved  E=mc^2
In 1948 Albert Einstein was offered this new job., President of Israel,Head of the Institute for Advanced Study,President of Israel,Head Dean of  Princeton University,Chief of the Atomic Energy Commission
In what year did Einstein pass away?, 1955,1960,1955,1954,1956
Which of these meals would be most suitable for a low carb diet?, An apple with cottage cheese,An apple with cottage cheese,Soya sauce,A ham sandwich,Meat and potatoes
Trans-fats are definitely unwholesome. Which of these foods is poorest in trans fatty acids?, sunflower oil,margarine,vegetable shortenings,sunflower oil,cookies
What is the building block of green plants that cant be broken down into sugar molecules and passes through the human body undigested?, dietary fiber,dietary fiber,glucose,dextrose,fructose
Which of the following fats contain trans-fats?, Partially hydrogenated fats,All types of animal fats,Partially hydrogenated fats,None of these,Non-hydrogenated fats
Which of these types of fat raises both LDL(bad cholesterol) and HDL(good cholesterol)?, Saturated,Saturated,Trans,Monounsaturated,Polyunsaturated
Which of these is especially rich in omega-3 and omega-6 fatty acids?, Flax seed,Brown sugar,Chicken,Flax seed,Wheat gran
"Health specialists still argue about the maximum daily salt intake. But it is for sure that if you overdose on salt, it may affect your health negatively. What is likely to happen if you add too much salt in your diet?", All of these,All of these,It can cause neurological problems,It may bring you high blood pressure,It can lead to electrolyte disturbance
"Cod liver oil is often used in many diets and healthy regimes, as a powerful source of omega-3, vitamin A and D. Some medical specialists believe that in the summer months cod liver oil should not be taken, for what reason?"," Because cod liver oil contains vitamin D, and the sun also creates vitamin D.  If vitamin D is overdosed, your face may become spotty",Because Vitamin D becomes toxic when heated,None of these,Because the pills melt in hot weather and it is easy to overdose,"Because cod liver oil contains vitamin D, and the sun also creates vitamin D.  If vitamin D is overdosed, your face may become spotty"
Which of these people would be able to successfully combine their regimes with a low carb diet without having to violate one of them?, A vegetarian,All of these,A vegetarian,A vegan,A fruitarian
"This unit,  named after one of the main discoverers of electromagnetism, is the base unit of electrical current.", Ampere,OHM,Frequency,Ampere,Capacitor
Which term refers to the number of complete cycles of an alternating current that occur per second?, Frequency,Watt,Frequency,Wavelength,Ohm
"Which term refers to the efficiency of an electric machine, measured in watt hours or kilowatt hours?", Energy Efficiency,OHM,Frequency Efficiency,Farad,Energy Efficiency
"This unit, named after the German physicist who discovered the relation between voltage and current, is the basic unit of electrical resistance.", Ohm,Watt,Frequency,Ohm,Resistor
This term refers to the distance between repeating units of a wave pattern and is commonly designated by the Greek letter lambda (λ)., Wavelength,Amp,Wave distance,Volt,Wavelength
What substance is added to blood to keep it from clotting until it is needed?, Salt,Sugar,Ethanol,Mecurium,Salt
The members of which profession used to be called leechers” because of the methods they used in the past?, Doctors,Pharmacists,Doctors,Dentists,Lawyers
What percentage of humans have type O blood?, 45 %,33 %,25%,There is no way to tell.,45 %
Which blood type is called the universal recipient?, AB,AB,O,A,B
Which fictional character had T-Negative blood type?, Mr. Spock,King Billy Haraah,The Scorpion King,Mr. Spock,Dr. Who
Which type of blood cells can be stored the longest?, Erythrocytes (red blood cells),Platelets,Blood plasma,Erythrocytes (red blood cells),Leukocytes (white blood cells)
Healthy people over 17 can donate what part of their blood every two weeks?, Platelets,Platelets,White blood cells,Blood serum,Red blood cells
Who was the first physician to demonstrate that arteries carry blood throughout the body?, Galen,Galen,Valen,Valecious,Herodotus
Which of these people is the Austrian biologist and physician who first identified the four basic blood types?, Karl Landsteiner,Karl Landsteiner,Felix Bernstein,William Osler,Charles Richard Drew
In 1658 he became the first person to describe and observe red blood cells (erythrocytes)., Jan Swammerdan,William Osler,Jan Swammerdan,Marcello Malpighi,Felix Bernstein
In 1924 who was the German mathematician who developed a proof showing that blood types were genetic?, Felix Bernstein,Franklin McLean,Charles  R. Drew,Felix Bernstein,William Osler
This person developed the first system to produce donatable blood plasma and was the first director of a Red Cross Blood Bank in the USA., Charles Richard Drew,William Osler,Felix Bernstein,Charles Richard Drew,Franklin McLean.
"Which of these statements about Petroleum, sometimes called ‘black gold’, is not true?", It is a renewable resource.,"It is used for the production of solvents, fertilizers and plastics.",It is found in formations in he Earth.,It is a fossil fuel.,It is a renewable resource.
"In 1863 this entrepreneur and his partners founded Standard Oil, a company which dominated oil production in the USA for decades.", John Rockefeller,Howard Hughes,John Rockefeller,Jean Paul Getty,Andrew Carnegie
"In 1991, one of the most serious oil spills in history brought considerable damage to wildlife in the Middle East region. What caused the oil spill?", Iraqi forces deliberately released crude oil from several tankers,Iraqi forces deliberately released crude oil from several tankers,Tanker Exxon Valdez hit an undersea reef,Nowruz Field platform spilled 80 million gallons of oil,Ixtoc I oil well suffered a blowout
"The Organization of the Petroleum Exporting Countries (OPEC) is an intergovernmental organization founded at the Baghdad Conference in September 1960, by 5 countries. Which of these countries was not a founding member of the organization?", Algeria,Algeria,Iraq,Venezuela,Iran
"This American oil driller, dug the first modern oil well near Titusville, Pennsylvania in 1859.", Edwin Drake,Robert Kerr,Frank Phillips,Edwin Drake,Edward Doheny
"This oil field, located south of Beaumont, Texas, and discovered by Anthony Francis Lucas, was the first major oil field in the USA.", Spindletop Oil Field,Thunder Horse Field,Wilmington Oil Field,Spindletop Oil Field,Elk Hills Field
"The term ‘petrodollar’, a dollar earned by a country through the sale of oil, was invented in 1973 by this Egyptian-born American professor and economist.", Ibrahim Oweiss,Ibrahim Oweiss,M. King Hubert,Ronald R. Cooke,Matthew R. Simmons
"This industrial facility, sometimes called a ‘tank farm’ or a ‘terminal’, is used for the storage of oil.", Oil depot,Oil gusher,Oil depot,Oil barrel,Oil well
"The first oil refinery in the world, bombarded in 1943 by US Air Force in operation Tidal Wave, was built in this country in 1856.", Romania,Germany,Romania,Iran,Italy
"The Arab-Israeli War in 1973, known as Yom Kippur War, triggered the ‘1973 oil crisis’. What action did the Arab members of OPEC undertake as part of their strategy?", All of these,They raised the price of oil,They proclaimed an embargo on oil exports to the Netherlands,All of these,They proclaimed an embargo on oil exports to the United States
This is the study of winds., anemology,conilogy,lithology,campanology,anemology
Which term refers to the study of atmospheric dust and its effect on life on Earth?, coniology,lithology,coniology,tricology,vexillogy
What is contrology?, Pilates,Pilates,the study of freshwater life,the study of social controls,the study of dates
What is the study of whales called?, cetology,cetology,mycology,dendrology,balinology
What does dactylology study?, fingerprints,rocks,the moon,fingerprints,caves
What does actinology study?, The study of the effect of light on chemicals,fruits and seeds,clouds,ants,The study of the effect of light on chemicals
What do we call the study of male health and male diseases?, andrology,ophiology,andrology,oology,Testrology
Which word refers to the study of bones?, osteology,otology,osteology,endocrinology,neropathp
Which word means the study of dogs?, cynology,cynology,onerology,carnaology,tocology
What does psephology study?, elections,African snakes,dreams,elections,poetry
What does ludology study?, video games,video games,postcards,wine,the moon
Which statement is incorrect?, Gerontology studies grammar and syntax.,Boxology studies schematic layouts and diagrams.,Apiology studies bees.,Gerontology studies grammar and syntax.,Potamology studies rivers.
"English physicist, mathematician, and astronomer Sir Isaac Newton presented his findings on the universal law of gravity in his work commonly referred to as Principia Mathematica, which was published in what year?", 1687,1535,1720,1687,1477
"Free-fall is defined as a condition in which a falling object experiences acceleration due only to gravity. Therefore, in this case, the only weight acting on an object is its own weight. Which of the following is not an example of an object in free-fall?", A skydiver with an open parachute,A skydiver with an open parachute,A feather falling through a vacuum tube,The Earths orbit around the Sun,A space shuttle with the rockets off
An object in free fall towards the Earth experiences acceleration in velocity due to gravity. This acceleration has what approximate value?, 9.8 meters per a second squared (32 feet per a second squared),8.1 meters per a second squared (26.6 feet per a second squared),9.8 meters per a second squared (32 feet per a second squared),32 meters per a second squared (9.8 meters per a second squared),26.6 meters per a second squared (8.1 feet per a second squared)
What is the ideal body weight for a six-foot-tall man with average bone structure?, 178 pounds,220 pounds,178 pounds,200 pounds,195 pounds
What is the ideal body weight for a woman with average bone structure who is 5 feet 5 inches tall?, 125 pounds,138 pounds,125 pounds,115 pounds,135 pounds
Which of these correctly defines the mathematical constant pi?, The ratio of a circles circumference to its diameter.,The ratio of a circles area to its radius.,The ratio of a circles area to its diameter.,The ratio of a circles circumference to its diameter.,The ratio of a circles circumference to its radius.
"References to measurements of a circular basin in the Bible (Kings 7:23), appears to give what corresponding value for pi?", 3,2.71828,22/7,3.14,3
"What is the exact value of the mathematical constant pi, a real number which is in common use in mathematics, physics, and engineering?", There is no answer,3.14,square root of ( 16 / (square root of 3) ),22/7,There is no answer
The mathematical constant Pi can be approximated by taking a series of polygons inscribed in a circle and a series of polygons circumscribed around the circle.  Who was the first to write of this method of calculating pi?, Archimedes,Carl Friedrich Gauss,Archimedes,Sir Isaac Newton,Euclid
The mathematical constant Pi is inherently involved in which of these math problems ?, Squaring the circle,Calculating the area of polygons,Squaring the circle,Calculating the number of years it takes to double your money in an investment,Finding the optimum value for the weight of a buildings foundation
"Whose was the proposal to use the 16th letter of the Greek alphabet, π, as a symbol for Archimedes constant, also known as Ludolphs number?", William Jones,Isaac Newton,Leonhard Euler,William Jones,Archimedes
"Pi Day is celebrated by many lovers of the mathematical constant, π, on what date?", March 14th,May 5th,January 13th,December 3rd,March 14th
