Questions,Correct,A,B,C,D
Bacteria consist of this number of cells.,C,Billions,3,1,Millions
People use a kind of microbe to make this.,B,Mineral water,Bread,Orange juice,Plastics
"Of all the microbes on Earth, only about this many have been identified.",B,1 %,5 %,2 %,10 %
Lactic acid bacteria help achieve this.,B,Preserve pollen aroma,Keep vegetables fresher,Prevent milk from turning into yogurt,Keep honey diluted in water
"Bacillus Thuringiensis, which is usually found naturally in the soil, is used as this.",C,Beer additive,Food additive,Insecticide,Wine ferment agent
There are billions of these microscopic creatures in your bed and they feed on this.,B,Wood,Dead skin cells,Cotton fibres,Sweat
"This is why Mycobacterium Tuberculosis, the bacteria which causes tuberculosis is called the literary microbe.",D,There is a lot to read about it,It is discussed in many scientific books,It is mentioned in many literary works,Many writers caught tuberculosis
There is proof that microbes existed on this planet.,B,Pluto,Mars,The Sun,Neptune
Microbes are generally considered to be this.,D,Harmless,Illness-causing,Deadly,Both harmless and deadly.
"After Hurricane Katrina, evacuees from Louisiana, Mississippi, and Alabama were granted two months of food stamps and free gasoline from the Texas Department of Health and Human Services.",A,False,True,,Q It has been revealed that some debit cards issued to Hurricane Katrina evacuees were used for purchasing luxury or entertainment items.
"In 2004, a National Geographic article foretold the formation of the flood that devastated New Orleans after Hurricane Katrina.",B,False,True,,Q The White House rejected Louisiana governor Kathleen Blancos request to declare an emergency before Hurricane Katrina had struck.
"After Hurricane Katrina’s strike, reverend Jesse Lee Peterson, a nationally syndicated African American host of a radio talk show, criticized New Orleans African Americans for both blaming the federal government and expecting handouts from it.",B,False,True,,"Q Former first lady Barbara Bush made the following remark about the New Orleans refugees, housed in the Houston Astrodome: And so many of the people in the arena here, you know, were underprivileged anyway, so this, this is working very well for them."
"Pat Robertson, the host of the 700 Club TV program, stated that Hurricane Katrina was caused by Gods anger over the selection of lesbian comedienne Ellen Degeneres to host the upcoming Emmy Awards.",A,False,True,,Q The disastrous 2005 Atlantic hurricane season broke the 1933 record of 21 named storms.
"In the 2005 hurricane season, there were 13 hurricanes of the overall number of 27 registered storms, which broke the record of 12, set in 1969.",A,False,True,,"Q In 2005, Katrina became the strongest hurricane on record in the Atlantic Basin with a pressure of 882 millibars breaking the old record set by Gilbert (888 mb) in 1988."
What is a difficult patient in medical jargon?,A,A patient who upsets the doctor or the office staff in some way,A patient who has a disease which is difficult to treat,A patient who is terminal,An insane patient
What is called a capitated plan in the medical fields?,B,A treatment plan which relates to the patients head.,"An insurance plan, which pays the doctor a certain amount per month","An insurance plan, which only covers up to a certain amount per visit",A treatment plan which has a definite endpoint.
What does the term a positive review of systems refer to?,A,"To every symptom question, the patient says yes",The patient reviews his symptoms well,A favorable review of systems,"To every symptom question, the patient says no"
"If the nurse writes NKDA on your chart, what does it mean?",B,Your vital signs are WNL (within normal limits).,You told the nurse you are not allergic to any medications.,You did not pay your bill.,You missed an appointment.
"If the nurse approaches the doctor and says, Doctor, theres a code in the lobby, what is the doctor likely to do?",D,Say thank you and resume what he was doing,Go home because the office is closed for the day,Pull out his wallet,Tell the nurse to call 911
"Choose the correct ordering of these medical jobs abbreviations, in increasing order of salary.",C,"MA, LPN, PA, RN, MD","MA, PA, LPN, RN, MD","MA, LPN, RN, PA, MD","LPN, MD, PA, MA, RN"
"In medical practice, what is the purpose of a chaperon?",D,To distract the patient when the doctor is performing a painful procedure,To keep male and female patients apart,To keep male and female employees from behaving inappropriately in the office,To protect doctors against lawsuits by patients for inappropriate sexual advances
Which of the following abbreviations pertains to a diagnosis?,C,EM Code,CPT Code,ICD-9 Code,G-code
"In medical jargon, what is a Well Woman Exam?",D,A full physical examination on a female adult who has no medical problems,An exam on the doctor by a female who is well,An exam on a female which finds herself to be well,A routine gynaecologic exam
Why do two patients sometimes have appointments with the same doctor at the same time?,C,Because the doctors time is more valuable than the patients time,Usually due to a scheduling error,Because of no-shows,To make the patients angry
Which sitcom aired on ABC from 1952 to 1966 after a ten-year run on radio?,D,Friends,The Simpsons,Frasier,Ozzie and Harriet
Which of the following comedies has been on TV the most number of years?,A,The Simpsons,Seinfeld,Ozzie and Harriet,M*A*S*H
This is considered the first  American sitcom with a gay character.,D,The Nancy Walker Show,Soap,Barney Miller,The Corner Bar
In what year was the word bastard first used on TV?,B,1964,1974,1960,1984
Which show was the first to have an episode which dealt with abortion?,D,Room 222,All in the Family,Good Times,Maude
In which country was the term television coined?,D,Canada,The USA,The United Kingdom,France
What year marked the first broadcast of a baseball game?,B,1949,1939,1946,1929
Who was the first US President to address the nation on TV?,B,Hoover,Truman,Eisenhower,FDR
"The first scheduled TV  broadcasts, which began in 1928, originated in which US state?",B,California,New Jersey,New York,Massachusetts
Which company paid for the first TV ad?,B,Dawn (dishwashing detergent),Bulova (watches),Colgate (toothpaste),Tide (laundry detergent)
Which was the first soap opera broadcast on an American television network?,A,Faraway Hill,Halls of Ivy,Love of Life,Love of Ivy
Which of these television networks came first?,A,NBC,CBS,ABC,Fox
Which of the following was the first womens advocacy show?,A,Leave It To The Girls,The Ladies Hour,The Ladies Home Journal Hour,Girl Talk
Which game show was hit by a scandal in 1958?,A,Twenty-One,Jeopardy,"The $64,000 Challenge","The $64,000 Question"
"This popular police show, which ran from 1951 to 1959, is famous for its very quick paced and to the point dialogue. It starred Jack Webb as police detective Joe Friday, badge#714.",A,Dragnet,Los Angeles Precinct,The Streets of San Francisco,Men on the Streets
What was the occupation of TV personality Harry Volkman?,A,TV weatherman,TV variety show host,TV news caster,TV game show host
Containers used for disposing of needles and other sharp objects must be all of the following except which one?,D,Disposable,Clearly Marked bio-hazard,Puncture resistant,Recyclable
For which of the following tubes is the blood to additive ratio most critical?,B,Lavender Stopper,Light Blue stopper,Green Stopper,Red Stopper
Which type of patient is most likely to have an AV fistula or graft?,D,Arthritic,Wheelchair-bound,Hospice,Dialysis
Which of the following is NOT needed for skin puncture?,B,Lancet,povidone-iodine pad,Micro-collection device,Gauze pad
"When performing a routine blood draw, the basilic vein is the best choice.",B,True,False,,Q The Antecubital Fossa is the major vein in the arm for intended vein puncture.
In what type of tube is blood drawn for a substance abuse test?,D,Light blue,Dark Green,Small Lavender,Red
What vein is usually the first choice when selecting a site for venipuncture?,A,Median Cubital,Accessory Cephalic,Cephalic,Basilic
Which part of a cell contains the chromosomes or genetic material?,D,Endoplasmic Reticulum,Cytoplasm,Golgi Apparatus,Nucleus
How many bones is an adults human skeletal system made up of?,C,132,318,206,354
What marrow produces blood cells in the human body?,D,Blue marrow,Yellow marrow,Green marrow,Red marrow
In some animals life cycle there are several stages of development involving abrupt bodily changes. What is this biological process called?,D,Birth,Adolescence,Growth,Metamorphosis
What do you call the transfer of pollen grains from the anther to the stigma of flowers?,C,Reproduction,Fertilization,Pollination,Migration
What is the smallest basic particle of matter?,A,Atom,Mass,Volume,Molecule
What do you call the force which slows down and stops a moving object?,A,Friction,Gravitational force,Magnetic force,Molecular force
"The Baroque period of architecture is characterized by vivid colours, luxurious materials and elaborate surface textures. Which of these buildings is an example of typical Baroque architecture?",B,The Royal Scottish Academy,St Peter’s Basilica,Solitude Palace,Lincoln Memorial
"When a client complained that the roof in his building leaks, this famous architect who had designed the building replied: ‘That’s how you can tell it’s a roof’.  Another work of his was the Guggenheim Museum in New York.",B,Aldo Rossi,Frank Lloyd Wright,Michael Graves,Frank Owen Gehry
This annually awarded architecture prize is usually referred to as ‘The Nobel Prize for Architecture’.,C,Thomas Jefferson Medal,Aga Khan Award,Pritzker Architecture Prize,Stirling Prize
"This architecture style is characterized by the use of materials such as stainless steel and aluminium. It aimed at nontraditional elegance that symbolizes wealth and sophistication.  It originated in Europe in 1920s and formed its name in 1925 at the World’s Fair, held in Paris.",C,Archigram,Rococo,Art Deco,Baroque
"Sharply pointed spires, stained glass and pointed arches are typical for this architecture style. It is mainly associated with cathedrals and other religious buildings.",B,Rococo,Gothic,Neo-Grec,Art Nouveau
"This Spanish architect designed La Sagrada Familia, one of the most famous buildings in Barcelona.",D,Carlo Scarpa,Mario Botta,Alvar Aalto,Antonio Gaudi
"There are seven tall buildings in Moscow, regarded as typical examples of Stalinist Architecture. What are these similarly designed buildings referred to?",D,‘Stalin’s Seven Wonders’,‘Stalin’s Seven Giants’,‘Stalin’s Seven Brothers’,‘Stalin’s Seven Sisters’
"The groundbreaking design of this building was created by Danish architect, Jorn Utzon. It is located by the sea, and its roof resembles white sails.",D,Metropolitan Opera,Carnegie Hall,La Scala,Sydney Opera House
"The construction of this famous building was completed on November 1st, 1800. It was designed by Irish-born architect James Hoban, who was inspired by the Leinster House in Dublin.",C,Williams Tower,Federal Hall,The White House,The Chrysler Building
"This architectural term, which refers to a free-standing bell-tower, comes from Italian and means a high bell tower.",A,Campanile,Cellula,Mensole,Triforium
"In The Wizard of Oz movie, Scarecrow states which very important mathematical theorem?",B,Euclids Fifth Postulate,The Law of Pythagoras,Eulers Theorem,Newtons Axiom
"In this movie Ayla, played by Daryl Hannah, teaches her new family to count all the way to ten.",A,The Clan of the Cave Bear,Caveman and Cavewoman,Way of the Caveman,Land of the Tribe
"In which movie does Edward James Olmos play a teacher in Los Angeles who gets an entire class of low-income, Hispanic students to pass the Advanced Placement Calculus test?",A,Stand and Deliver,Proof,Stand By Me,Pi
Proof was originally a play about a brilliant mathematician who worries about inheriting her fathers insanity. Which actress was the star of the 2005 movie of the same name?,A,Gwyneth Platrow,Kate Blanchett,Claire Danes,Kirsten Dunst
In this fine movie Dustin Hoffman plays a mathematician who gets tired of being picked on.,A,Straw Dogs,Sunday Father,The Point,Sphere
In which movie does Bud Abbott “prove to Lou Costello that 13 x 7 = 28?,D,Splinters in the Navy,Youre in the Navy,Francis in the Navy,In the Navy
Which of these is a movie about a mathematician who develops a formula that predicts the prices of stock markets?,A,The Bank,The Puzzle,The Formula,The Tricks
What 1997 movie featured Cartesian co-ordinates (the usual type of graph paper) and factoring numbers?,A,Cube,The Sphere,Gleaming the Cube,Proof
"In this film, high school student Max Fisher, played by Jason Schwartzman, is asked to use calculus to find the area of an ellipse.",C,Mr. Novak,Room 222,Rushmore,The High School
"In the movie “Little Big League, the hero must solve this problem: John can finish a job in five hours. Mary can finish the same job in three hours. If they work together, how long will it take to finish the job? What is the answer?",A,1 and 7/8 hours,4 hours,1 and 1/4 hours,2 hours
Lightning is caused by the increased imbalance of positive and negative charges during storms.,A,True,False,,"Q A flash of lightning can heat the air around it, which gives off vibrations and expansion of the air thus causing what?"
A lightning bolt can produce what voltage?,D,4 million volts,400 million volts,1 million volts,1 billion volts
What does the term bolts from the blue mean?,A,Horizontal lightning that seems to come from no where,Lighting strikes on a clear day,Blue vertical lightning bolts,Lightning over an ocean
"According to the U.S. National Weather Service, after you see and hear the last flash of lightning and roar of thunder, you should wait how long before presuming outdoor activities?",C,1 hour,2 hours,30 minutes,10 minutes
What did early Greeks believe lightning was?,A,The weapon of Zeus,A warning from Minerva,The sign of death,A symbol of good fortune
Which of Santa Klaus reindeers’ name means lightning?,C,Dasher,Prancer,Blitzen,Donner
"Between 1997 and 2006, there were how many reported deaths from lightning?",B,393,437,750,825
Which statement concerning whales is true?,B,All whales have two blow holes.,Some whales have one blow hole and some have two.,Every whale has exactly one blow hole.,Only some whales have blow holes.
Which of these statements is true?,C,Humans are the only mammals that cry.,All land mammals cry.,Humans and elephants are the only mammals that cry.,All mammals cry.
What is the meaning of plasmodium?,A,The parasite that causes malaria,The part of the blood that covers red and white blood cells and platelets,The liquid-like substance found in animal and plant cells,The gel-like substance that holds fish eggs together
Quickly calculate 95^2 (i.e. 95X95). What is the result?,C,810025,8125,9025,"987,654,321"
What molecule has the formula O3?,A,Ozone,Tritium,Deuterium,Peroxide
All dogs are of the same species.,B,False,True,,Q Upon what does the loudness of a sound depend?
Which of these is hottest?,B,the surface of the sun,a lightning bolt,the laser used in eye surgery,a microwave oven
"All telephones in the USA were shut down on August 2, 1922. Why?",C,The International Brotherhod of Communications Workers went on strike.,"The electrical workers in New York, Chicago, and Washington went on strike.",It was the day when Alexander Graham Bell died.,It was the day  for the Orson Welles  War of the Worlds radio telecast.
"In 1989, a Mastiff was recognized by the Guinness Book of World Records as the heaviest dog in the world. What was the weight of the dog?",D,182 kilograms,173 pounds,298 pounds,343 pounds
Which of these events occurred in 1589?,C,Sir Thomas Crapper invented the modern flush toilet.,Zacharias Hanssen invented the modern flush toilet.,Sir John Harington invented the modern flush toilet.,Otto von Guericke invented the modern flush toilet.
Which of these animals makes the loudest noise?,A,The humpback whale,The Andean condor,The whale shark,The howling monkey
Who invented the water thermometer?,A,Galileo,Fahrenheit,Celsius,Santorio Santorio
In which city was Albert Einstein born ?,A,Ulm,Berlin,Bonn,Munich
"Einsteins father owned a company that made small magnetos, which he was later forced to sell to this, much larger corporation.",B,"Bavarian Electrical Supplies , GmbH",Siemens,Krups,BMW
"During WWII, Einstein was paid $25 per day for his consultation on the Manhattan Project.",B,False,True,,Q On Friday evenings it was the custom of Jewish families to invite college students over for a home cooked meal. One of the students the Einsteins often ate with introduced Albert to science.  What was his name ?
In which year was Albert Einstein born?,D,1869,1899,1889,1879
"During this year, Einstein had three incredible papers published in the physics journals, and obtained his doctoral degree.",A,1905,1912,1907,1929
In which US city did Einstein live out his last years?,D,"Cambridge, Massachusetts","New Haven, Connecticut","Boca Raton, Florida","Princeton, New Jersey"
Which type of car did Einstein own while in the USA ?,D,Buick,Packard,Ford,None
"What important thing did Einstein do on August 2nd, 1939?",C,He proved the Theory of Special Relativity,He found the speed of light,He wrote a letter,He proved  E=mc^2
In 1948 Albert Einstein was offered this new job.,B,Head of the Institute for Advanced Study,President of Israel,Head Dean of  Princeton University,Chief of the Atomic Energy Commission
In what year did Einstein pass away?,B,1960,1955,1954,1956
Lifting incredibly slowly builds incredibly big muscles. Lifting super slowly produces superlong workouts.,B,True,False,,"Q If you eat more protein, youll build more muscle."
Leg extensions are safer for your knees than squats.,A,False,True,,Q Sore muscles should be excercised...
The fact that stretching prevents injuries is a myth.,B,False,True,,Q You need a Swiss ball to build a stronger chest and shoulders.
It is better to work out with free weights.,A,True,False,,Q Which of the following foods is poorest in carbohydrates?
Which of these meals would be most suitable for a low carb diet?,A,An apple with cottage cheese,Soya sauce,A ham sandwich,Meat and potatoes
Trans-fats are definitely unwholesome. Which of these foods is poorest in trans fatty acids?,C,margarine,vegetable shortenings,sunflower oil,cookies
What is the building block of green plants that cant be broken down into sugar molecules and passes through the human body undigested?,A,dietary fiber,glucose,dextrose,fructose
Which of the following fats contain trans-fats?,B,All types of animal fats,Partially hydrogenated fats,None of these,Non-hydrogenated fats
Which of these types of fat raises both LDL(bad cholesterol) and HDL(good cholesterol)?,A,Saturated,Trans,Monounsaturated,Polyunsaturated
Which of these is especially rich in omega-3 and omega-6 fatty acids?,C,Brown sugar,Chicken,Flax seed,Wheat gran
"Health specialists still argue about the maximum daily salt intake. But it is for sure that if you overdose on salt, it may affect your health negatively. What is likely to happen if you add too much salt in your diet?",A,All of these,It can cause neurological problems,It may bring you high blood pressure,It can lead to electrolyte disturbance
"Cod liver oil is often used in many diets and healthy regimes, as a powerful source of omega-3, vitamin A and D. Some medical specialists believe that in the summer months cod liver oil should not be taken, for what reason?",D,Because Vitamin D becomes toxic when heated,None of these,Because the pills melt in hot weather and it is easy to overdose,"Because cod liver oil contains vitamin D, and the sun also creates vitamin D.  If vitamin D is overdosed, your face may become spotty"
Which of these people would be able to successfully combine their regimes with a low carb diet without having to violate one of them?,B,All of these,A vegetarian,A vegan,A fruitarian
"This unit,  named after one of the main discoverers of electromagnetism, is the base unit of electrical current.",C,OHM,Frequency,Ampere,Capacitor
Which term refers to the number of complete cycles of an alternating current that occur per second?,B,Watt,Frequency,Wavelength,Ohm
"Which term refers to the efficiency of an electric machine, measured in watt hours or kilowatt hours?",D,OHM,Frequency Efficiency,Farad,Energy Efficiency
"This unit, named after the German physicist who discovered the relation between voltage and current, is the basic unit of electrical resistance.",C,Watt,Frequency,Ohm,Resistor
"An insulator is a thin metal strip mounted in a holder. When too much current passes through  it, the metal strip melts and opens the circuit.",A,False,True,,Q What is the unit of power that shows how fast a circuit uses electrical energy?
Moonbounce is a form of wireless communication in which the moon is used as a passive satellite.,A,True,False,,"Q What is the basic unit of electric pressure, also known as emf?"
This term refers to the distance between repeating units of a wave pattern and is commonly designated by the Greek letter lambda (λ).,D,Amp,Wave distance,Volt,Wavelength
"Lower frequencies have longer wavelengths, while higher frequencies have shorter wavelengths.",A,True,False,,Q How much blood does the average adult human have?
What substance is added to blood to keep it from clotting until it is needed?,D,Sugar,Ethanol,Mecurium,Salt
The members of which profession used to be called leechers” because of the methods they used in the past?,B,Pharmacists,Doctors,Dentists,Lawyers
Barbers traditionally have red and white poles in front of their stores because in the Middle Ages they did the blood letting.,A,True,False,,Q Approximately what percentage of humans have blood of the type Rh +?
What percentage of humans have type O blood?,D,33 %,25%,There is no way to tell.,45 %
Which blood type is called the universal recipient?,A,AB,O,A,B
Which fictional character had T-Negative blood type?,C,King Billy Haraah,The Scorpion King,Mr. Spock,Dr. Who
Which type of blood cells can be stored the longest?,C,Platelets,Blood plasma,Erythrocytes (red blood cells),Leukocytes (white blood cells)
Healthy people over 17 can donate what part of their blood every two weeks?,A,Platelets,White blood cells,Blood serum,Red blood cells
Who was the first physician to demonstrate that arteries carry blood throughout the body?,A,Galen,Valen,Valecious,Herodotus
Which of these people is the Austrian biologist and physician who first identified the four basic blood types?,A,Karl Landsteiner,Felix Bernstein,William Osler,Charles Richard Drew
In 1658 he became the first person to describe and observe red blood cells (erythrocytes).,B,William Osler,Jan Swammerdan,Marcello Malpighi,Felix Bernstein
In 1924 who was the German mathematician who developed a proof showing that blood types were genetic?,C,Franklin McLean,Charles  R. Drew,Felix Bernstein,William Osler
This person developed the first system to produce donatable blood plasma and was the first director of a Red Cross Blood Bank in the USA.,C,William Osler,Felix Bernstein,Charles Richard Drew,Franklin McLean.
"Which of these statements about Petroleum, sometimes called ‘black gold’, is not true?",D,"It is used for the production of solvents, fertilizers and plastics.",It is found in formations in he Earth.,It is a fossil fuel.,It is a renewable resource.
"In 1863 this entrepreneur and his partners founded Standard Oil, a company which dominated oil production in the USA for decades.",B,Howard Hughes,John Rockefeller,Jean Paul Getty,Andrew Carnegie
"In 1991, one of the most serious oil spills in history brought considerable damage to wildlife in the Middle East region. What caused the oil spill?",A,Iraqi forces deliberately released crude oil from several tankers,Tanker Exxon Valdez hit an undersea reef,Nowruz Field platform spilled 80 million gallons of oil,Ixtoc I oil well suffered a blowout
"The Organization of the Petroleum Exporting Countries (OPEC) is an intergovernmental organization founded at the Baghdad Conference in September 1960, by 5 countries. Which of these countries was not a founding member of the organization?",A,Algeria,Iraq,Venezuela,Iran
"This American oil driller, dug the first modern oil well near Titusville, Pennsylvania in 1859.",C,Robert Kerr,Frank Phillips,Edwin Drake,Edward Doheny
"This oil field, located south of Beaumont, Texas, and discovered by Anthony Francis Lucas, was the first major oil field in the USA.",C,Thunder Horse Field,Wilmington Oil Field,Spindletop Oil Field,Elk Hills Field
"The term ‘petrodollar’, a dollar earned by a country through the sale of oil, was invented in 1973 by this Egyptian-born American professor and economist.",A,Ibrahim Oweiss,M. King Hubert,Ronald R. Cooke,Matthew R. Simmons
"This industrial facility, sometimes called a ‘tank farm’ or a ‘terminal’, is used for the storage of oil.",B,Oil gusher,Oil depot,Oil barrel,Oil well
"The first oil refinery in the world, bombarded in 1943 by US Air Force in operation Tidal Wave, was built in this country in 1856.",B,Germany,Romania,Iran,Italy
"The Arab-Israeli War in 1973, known as Yom Kippur War, triggered the ‘1973 oil crisis’. What action did the Arab members of OPEC undertake as part of their strategy?",C,They raised the price of oil,They proclaimed an embargo on oil exports to the Netherlands,All of these,They proclaimed an embargo on oil exports to the United States
This is the study of winds.,D,conilogy,lithology,campanology,anemology
Which term refers to the study of atmospheric dust and its effect on life on Earth?,B,lithology,coniology,tricology,vexillogy
What is contrology?,A,Pilates,the study of freshwater life,the study of social controls,the study of dates
What is the study of whales called?,A,cetology,mycology,dendrology,balinology
What does dactylology study?,C,rocks,the moon,fingerprints,caves
What does actinology study?,D,fruits and seeds,clouds,ants,The study of the effect of light on chemicals
What do we call the study of male health and male diseases?,B,ophiology,andrology,oology,Testrology
Which word refers to the study of bones?,B,otology,osteology,endocrinology,neropathp
Which word means the study of dogs?,A,cynology,onerology,carnaology,tocology
What does psephology study?,C,African snakes,dreams,elections,poetry
What does ludology study?,A,video games,postcards,wine,the moon
Which statement is incorrect?,C,Boxology studies schematic layouts and diagrams.,Apiology studies bees.,Gerontology studies grammar and syntax.,Potamology studies rivers.
"English physicist, mathematician, and astronomer Sir Isaac Newton presented his findings on the universal law of gravity in his work commonly referred to as Principia Mathematica, which was published in what year?",C,1535,1720,1687,1477
"According to gravity laws, if a bowling ball and a feather are dropped simultaneously from the same height the bowling ball will hit the ground first because it has greater inertia. (In this case we ignore the effects of air resistance.)",A,False,True,,"Q The gravitational force on the surface of the Sun is greater than the gravitational force on Earths surface. If you weigh 180 lbs or 80 kg on Earth, what would your weight be on the Sun?"
"Free-fall is defined as a condition in which a falling object experiences acceleration due only to gravity. Therefore, in this case, the only weight acting on an object is its own weight. Which of the following is not an example of an object in free-fall?",A,A skydiver with an open parachute,A feather falling through a vacuum tube,The Earths orbit around the Sun,A space shuttle with the rockets off
"Although gravity has been a subject of much research and scientific work, the actual cause of gravitational forces remains unknown.",B,False,True,,"Q Although Newtons and Einsteins theories are generally widely accepted and used in many fields of science, there are some researchers who have developed alternative theories of gravity. Which of the following is one of these theories?"
An object in free fall towards the Earth experiences acceleration in velocity due to gravity. This acceleration has what approximate value?,B,8.1 meters per a second squared (26.6 feet per a second squared),9.8 meters per a second squared (32 feet per a second squared),32 meters per a second squared (9.8 meters per a second squared),26.6 meters per a second squared (8.1 feet per a second squared)
"If we measure the acceleration due to gravity at the top of Mount Everest, it will be less than the acceleration at sea level.",A,True,False,,Q Artificial gravity is a simulation of gravity in outer space. There are several means by which artificial gravity can be created. Which of the following is not one of them?
"If 2 people are eating the same number of calories per day, the one who eats frequent small meals will lose more weight than the one who eats one large meal per day.",A,True,False,,"Q A diet high in sugar and starch has more energy, so people who eat such a diet do not get as hungry as people who eat a diet low in sugar and starch."
Running a mile burns approximately 100 calories (100 Kcal).,A,True,False,,Q How many calories (kcal) is equivalent to one pound?
What is the ideal body weight for a six-foot-tall man with average bone structure?,B,220 pounds,178 pounds,200 pounds,195 pounds
What is the ideal body weight for a woman with average bone structure who is 5 feet 5 inches tall?,B,138 pounds,125 pounds,115 pounds,135 pounds
The best diet is a permanent lifestyle change.,A,True,False,,Q Low-fat foods contain very little if any sugar.
A teenage girl who is very thin and obsesses about losing weight may have an eating disorder.,A,True,False,,"Q It would be better to skip breakfast entirely than to eat the typical American breakfast of sausage, sweets rolls, pancakes with syrup, and eggs."
Which of these correctly defines the mathematical constant pi?,C,The ratio of a circles area to its radius.,The ratio of a circles area to its diameter.,The ratio of a circles circumference to its diameter.,The ratio of a circles circumference to its radius.
"References to measurements of a circular basin in the Bible (Kings 7:23), appears to give what corresponding value for pi?",D,2.71828,22/7,3.14,3
"What is the exact value of the mathematical constant pi, a real number which is in common use in mathematics, physics, and engineering?",D,3.14,square root of ( 16 / (square root of 3) ),22/7,There is no answer
The mathematical constant Pi can be approximated by taking a series of polygons inscribed in a circle and a series of polygons circumscribed around the circle.  Who was the first to write of this method of calculating pi?,B,Carl Friedrich Gauss,Archimedes,Sir Isaac Newton,Euclid
The mathematical constant Pi is inherently involved in which of these math problems ?,B,Calculating the area of polygons,Squaring the circle,Calculating the number of years it takes to double your money in an investment,Finding the optimum value for the weight of a buildings foundation
"Whose was the proposal to use the 16th letter of the Greek alphabet, π, as a symbol for Archimedes constant, also known as Ludolphs number?",C,Isaac Newton,Leonhard Euler,William Jones,Archimedes
"Pi Day is celebrated by many lovers of the mathematical constant, π, on what date?",D,May 5th,January 13th,December 3rd,March 14th
"Which of these statements regarding the mathematical constant, pi is incorrect?",D,Pi is transcendental,People compete to see who can memorize the most digits of pi,Lars Erickson wrote a symphony based on pi,By using larger and larger computers we can one day find the exact value of pi
"As you calculate more and more decimal places for the mathematical constant pi, you will eventually reach Feynmans Point.  Which one of these most accurately defines Feynmans Point?",A,The place where the decimal value of pi shows three 9s in a row,The decimal place where we have five nines in a row,The decimal place where we have six zeros in a row,The last decimal place we know
"Which of these statements regarding the mathematical constant, pi, is incorrect?",B,"In September of 2002, Dr. Yasumasa Kanada at Tokyo University calculated pi to 1.2411trillion decimal places",There is no zero in the decimal expansion of pi,22/7 is a good approximation for the value of pi,The first written reference to the ratio of a circles circumference to its diameter was written about 1650 b.c.e
Waters extraordinary physical properties are a result of its chemical structure - it consists of two hydrogen atoms and one oxygen atom bonded in what type of molecule?,C,Diatomic,Nonpolar,Polar,Covalent
"Although it is generally described as a transparent liquid, in seas, lakes and other large water bodies, water appears blue.  What property of water is this attributed to?",B,Water reflects light in the red range,Water absorbs light in the red range,Water refracts light,Water radiates in the blue range
"High surface tension, one of waters properties, is crucial for the survival of life on the planet, because it enables what vital process?",B,Dissolving of nutrients,Transport of nutrients,Recycling of nutrients,Formation of nutrients
Water is a powerful conductor of electricity.,A,False,True,,"Q A unique property of water is that its solid form, ice, does not sink as may be expected, but floats. What is the reason for this phenomenon?"
"In meteorology, virga, a weather phenomenon typical for desert regions, is what form of precipitation?",A,Precipitation that evaporates before reaching the ground,Highly condensed type of precipitation,Precipitation that freezes before reaching the ground,Precipitation that has not undergone condensation
"Water is divided into soft and hard, depending on its chemical composition. Hard water washes soap from your hands faster, because of its high contents of what?",B,Polar molecules,Minerals,Free electrons,Salts
"Because of its unique properties in interacting with other substances, water is often referred to as the universal what?",C,Stabilizer,Neutralizer,Solvent,Oxidant
"The temperature of large bodies of water tends to vary much less, compared to that of land masses, why?",A,Water can absorb a tremendous amount of heat,Liquids are better heat conductors,Water responds more quickly to temperature changes,Sunlight penetrates water more easily
"This intricate name, given to water, is a common hoax to misleadingly present water as a dangerous and harmful compound.",D,Decaborane,Diborane,Disilane,Dihydrogen monoxide (DHMO)
Rain forests are home to approximately what percentage of all the living animal and plant species on the planet?,C,12%,24%,65%,80%
Which of the following is typical for the Rainforest trees and cannot be seen in trees at higher latitudes?,C,Large leaves,Fleshy fruits,Cauliflory,Thin bark
"Extract from the Periwinkle plant is one of the worlds most powerful drugs, used to fight this disease.",A,Cancer,Hepatitis B,AIDS,Psoriosis
The Toco Toucans strange appearance is due this.,C,Its movement,Its eyes,Its bill,Its feathers
"What does the scientific name of the King cobra, Ophiophagus, mean?",D,Royal snake,Elephant killer,Deadly reptile,Snake eater
"The source of the Amazon, the widest river in the world, is located in this area of Peru.",D,Arequipa,Lima,Juliaca,Calillona
"123facts.com is a great site, isnt it? But do you know what the .com part stands for?",C,Competition,Composition,Commercial,Communication
Which domain is used by European Union institutions?,C,.ue,.ee,.eu,.ec
Who may use the .gov domain?,C,Governments of any country (payment goes to UN funds),Governors of US states,US federal agencies,Governments of any country (free)
"If 123facts.de existed, in which language would the quizzes most likely be written?",D,French,Danish,Spanish,German
What is the most likely suffix of a web page established by a Scottish company or individual?,C,.gb,.sc,.uk,.br
The .aq domain name is reserved to which of the following?,A,Organizations that work in or promote Antarctica,"Countries that have Arctic Ocean shore (Canada, Greenland, Norway, Russia and USA)",Citizens of Antigua and Barbuda,Anyone who pays to the appropriate authority of Argentina
Which domain name is owned by Spain?,A,.es,Spain is the only country without a national domain,.sp,.hi
"If you established Trivia TV and wanted a web site in the .tv domain, which of the following would earn some money?",A,Tuvalu,BBC,Taiwan,CNN
Which of the following owns the .fm domain name that is popular among radio stations?,B,International Broadcasters Union,Federated States of Micronesia,France,Mexico
Which country owns the .ie domain name?,A,Ireland,Northern Ireland (Ulster),Israel,Iceland
