Questions,Correct,A,B,C,D
All of these substances but one are a safe way to get rid of ants in the house. Which is the odd one?,C,Cider vinegar,Windex mixed with ivory soap,Wine,Whole cloves
What do we call the type of ants that plant seeds to grow food?,D,Formicadae,Thresher ants,Farmer ants,Harvester ants
Carpenter ants have become a problem because of the wood they eat.,B,True,False,,Q What is special about the red ants of the Southwestern USA and Central and South America?
In 1966 was found the first ant fossil. From which geological period did it come from?,A,Cretaceous,Pennsylvannian,Pre-Fermaceous,Jurasic
Which statement about ants is untrue?,A,Anteaters prefer ants to any other type of food.,An ant colony will eat its own larvae if there is no other food around.,Bullet ants are considered to have the most painful sting.,Ants are sometimes put into Thai salads.
Warner Brothers highest grossing film of 1954 was about enormous ants that threatened a small town in the USA. What was the title of this movie?,B,Ants!,Them!,Invasion,Invaders
How many species of flamingo are native to the Americas?,D,3,2,1,4
A flamingo’s feathers can change color depending on its diet.,A,True,False,,Q What do you call a group of flamingos?
All flamingos have 12 black flight feathers at the tips of each wing.,B,False,True,,Q Which of these flamingo species is not native to the Americas?
Why do flamingos often stand on one leg?,D,To keep their feet from becoming waterlogged.,To keep feet from getting tired.,To stir up as little silt from bottom as possible.,Noone knows for sure.
Are baby flamingos pink?,B,Yes,No,,Q What decade did the pop culture icon the plastic lawn flamingo come into existence?
"Once the dingo was introduced to Australia, the Thylacine population decreased steadily until the only viable populations were on the Island of Tasmania.",A,True,False,,Q Are Thylacines marsupials?
When was the last reported killing of a Thylacine in Australia?,A,1930,1880,1900,1910
What was the name of the zoo in which the last known Thylacine was placed in 1936?,A,Hobart Zoo,Queensland Zoo,Queen Elizabeth Zoological Gardens,Australia Zoo
Why were Thylacines called Tigers?,D,because of the vicious way in which they killed their prey,because they looked like cats,because of their mean disposition,because of the stripes on their back
Was there ever any evidence found after 1936 that Thylacines may have still been living in Australia?,B,No,Yes,,Q It was proven that Thylacines killed some sheep in 1957.
What was the fine for shooting a Thylacine?,D,"$10,000","$1,000","$3,000","$5,000"
In what year were Thylacines classified as extinct?,A,1986,1979,1974,1965
"In 1984 what famous mogul offered a $100,000 reward for proof of the continued existence of Thylacines?",C,Donald Trump,Rupert Murdock,Ted Turner,Bill Gates
What is a pangolin?,A,A scaly ant-eating mammal,A poisonous snake,A type of fish,A type of waterfowl
What does the Malaysian word pangolin mean?,B,Armor,Roll into a ball,Walking Pinecone,Scaly Anteater
Pangolins have no teeth.,A,True,False,,Q The tongue of a pangolin is so long that it is anchored to its pelvis.
Are pangolins related to anteaters and armadillos?,B,Yes,No,,Q Can pangolins walk on their hind legs?
Which of these statements concerning the way in which pangolins defend themselves is false?,A,They run away very quickly.,They spray a noxious odor like a skunk.,They curl up in a ball.,They attack by slashing their long claws or whipping their tails.
The armor plates of pangolins are made of tough bone.,A,False,True,,Q How many young pangolins can an adult pangolin have at one time?
"Although not all bear subspecies are vicious, there is a tendency for increase in bear attacks due to this factor.",A,Destruction of bears natural habitat,Pollution,Genetical mutation of bears,Hunting
Despite sharks’ bad reputation thanks to movies out of 300 species of sharks only this much are known to have attacked and killed a man.,A,4,10,2,11
"Although jellyfish may seem to you calm and harmless, an encounter with some species may leave you in excruciating pain and even kill you in minutes. Which of the following species of jellyfish is venomous enough to kill a man?",C,Sea nettle,Mastigias,Box jellyfish,Medusa Jellyfish
We’ve seen these animals as friendly and approachable but the truth is that they’re unpredictable. What is the average number of fatalities a year elephants cause?,C,150-200,20-40,300-500,1000-1500
"Hippopotamuses may seem slow, lazy and bulky but in fact are one of the most dangerous African animals. Which of the following should you avoid in order to prevent a hippopotamus attack?",B,Standing between the hippopotamus and its calf,All of these,Surprising the hippopotamus,Blocking the hippopotamus’ way
Crocodiles like to stay motionless in water and wait for the perfect time to strike. These powerful prehistoric creatures annually give what estimated number of fatalities?,D,1000-1500,50-100,100-200,600-800
"If you happen to be near a big cat (e.g. lion, tiger, lynx) that seems to be about to attack you, which of the following shouldn’t you do in any case?",C,Scream and shout,Try to look larger than you really are,Turn back and run,Stare at its eyes
"Although only a small percent of scorpions are venomous to people, 800 to 2000 human deaths each year are caused by scorpions. During which part of the day are these creatures most active?",D,Morning,All day,Noon,Night
Which of the following statements about snakes is not true?,D,Snakes can strike upto half their length.,A fully grown king cobra can rear up so it looks a human in the eyes.,Not all venomous snakes are capable of killing a man.,Snakes will attack almost always they sense the presence of a human.
"Surprisingly, the number one killer among animals with about 2-3 million human fatalities a year is a tiny insect. Which is it?",B,Bee,Mosquito,Tsetse fly,Wasp
How many species of rhinoceros survive in the wild?,B,2,5,4,3
Which of these is NOT a species of rhinoceros?,A,African Rhino,Indian Rhino,Javan Rhino,Sumatran Rhino
The deaths caused by rhinos in India and Nepal exceed the total number of deaths caused by leopards and tigers.,A,True,False,,"Q Throughout the period from the 1970s to the end of the 20th century, the rhinoceros numbers declined by approximately what percentage?"
In Asian folklore the rhinoceros would stomp out fires in the jungle.,A,True,False,,Q What is the life span of a rhino?
The species name White Rhinoceros is the result of mis-translation of the word white.,A,True,False,,Q What is the gestation period of a rhino?
What is the #1 reason for the rhinos decline worldwide?,D,Disease,Farming,Predators,Poaching
Hyenas are only found in Africa.,B,True,False,,Q Hyenas are most closely related to what creatures?
Hyenas were domesticated and eaten in ancient Egypt.,B,False,True,,Q In which of these African environments are hyenas NOT found?
Are male hyenas the dominant members of their groups?,B,Yes,No,,Q Which of these is not a species of hyena?
Are spotted hyenas considered an endangered species?,B,Yes,No,,Q What is a group of hyenas called?
According to the Medieval Bestiary hyenas have the ability to change their sex.,B,False,True,,Q What country was home to the Moa?
How many species of Moa are known to have existed?,D,3-5,5-7,10-13,11-15
The Moa was unique because even though it was a bird it had no wings.,A,True,False,,Q What was the main reason for the extinction of the Moa?
What animal was the number one predator of the Moa?,B,They had no predator they were too large,An extinct species of eagle,An extinct species of lion,An extinct species of wolf
Was the male Moa larger than the female?,A,No,Yes,,"Q Is the Moa related to the kiwi, a living species of flightless bird from New Zealand?"
In what year were the first Moa remains discovered by Europeans?,C,1765,1857,1839,1724
Which of these European countries is not home to any wild native reindeer?,B,Finland,Switzerland,Russia,Scotland
Both male and female reindeer grow antlers.,B,False,True,,Q Approximately how many miles per year can the North American caribou travel?
Reindeer are strict herbivores (vegetarians).,A,False,True,,Q Approximately how many reindeer live in Eurasia?
Siberians  use reindeer to ride on.,B,False,True,,Q Which of these is not a species of reindeer?
Are reindeer antlers used as a food by humans?,A,Yes,No,,Q How many species of pigeons and doves exist?
Pigeon and dove fossils are regularly found giving us a lot of information on pigeon evolution?,A,False,True,,Q Pigeons are master nest builders.
Why are pigeon nests or eggs rarely seen?,A,Pigeons are cliff dwellers and build their nests in high places.,Pigeons do their best to conceal nests.,Pigeons are picky and only build nests high up in certain types of trees.,Pigeons dont build nests.
Pigeons were so valuable in wartime that some won medals for their service.,A,True,False,,"Q Pigeons are only one of seven species to pass the mirror test, which tests if animals recognize their own reflected image."
What is the common name for the pigeon that we see in the city streets and in our backyards?,B,Mourning Dove,Rock Dove,Common Dove,Fancy Dove
Dinosaurs lived during which geologic era?,D,Cretazoic,Protozoic,Holozoic,Mesozoic
The word dinosaur is a combination of two Greek words. One word  means lizard. What does the other word mean?,A,Terrifying,Herbivorous,Godlike,Beautiful
Dinosaurs once roamed Colorado and Wyoming.,A,True,False,,"Q Name the theropod dinosaur with a long head, flat snout, and large sickle-shaped claw on the second toe of each foot."
Name the prehistoric reptile of the late Jurassic and Cretaceous period with featherless wing membrane.  It is believed this reptile flew.,D,Bronchialsaurus,Accipitridae Raptor,dactylic raptor,Pterodactyl
"The name brontosaurus is derived from the Greek words sauros, which means lizard, combined with another word. What does the word bronte mean?",D,Large,Long neck,Poetic,Thunder or roar
The species Tyrannosaurus Rex  was herbivorous.,A,False,True,,Q Which of these dinosaurs had dorsal plates and spikes?
"According to history/science/geology, dinosaurs became extinct approximately how many years ago?",D,10 million,25 million,80 million,65 million
"This reptile, endemic to new Zealand, is the only surviving rhynchocephalian.",D,Perisssodactyl,None of these,Kephalosaurus,Tuatara
"Which one of these movies tells the story of Littlefoot, an Apatosaurus in search of the Great Valley where dinosaurs can live in peace?",D,Walking With Dinosaurs,Jurassic Park,King Kong,The Land Before Time
Which of these books about prehistoric animals and dinosaurs was written by Arthur Conan Doyle?,D,Dinosaur Planet,Jurassic Park,Dinotopia,The Lost World
"In the 1980s, who voiced the character of Dino, the pet dinosaur in the animated series The Flintstones?",B,Frank Welker,Mel Blanc,Jean Vander Pyl,Alan Reed
"In the book Jurassic Park, the fictional island Isla Nublar, where recreated dinosaur species live, is situated in which part of the world?",A,Near Costa Rica,Near Japan,Near Chile,Near Spain
"The BBC series Walking with Dinosaurs, which won three Emmy Awards, consisted of how many parts?",C,12,3,6,2
The design of the Japanese fictional monster Godzilla was based on the characteristics of which dinosaur?,B,Stegosaurus,All of these,Tyrannosaurus,Iguanodon
"In the cartoon Dinosaucers, Bronto Thunder is what kind of dinosaur?",A,An evolved Apatosaurus,An evolved Stegosaurus,An evolved Archaeopteryx,An evolved Triceratops
"What is Dinotopia, the fictional place where humans and dinosaurs live together in James Gurneys books and Hallmarks mini series?",B,A planet,A hidden island,A mountain,A large volcano
Which band recorded a song called Brontosaurus which includes the following verse:,,,ow her daddys getting old,nd he seemed to lose control,hen the brontosaurus
What kind of celestial body is the 9949 Brontosaurus?,A,Asteroid,Planet,Star,Black hole
"What is the meaning of the term Triceratops, referring to a dinosaur genus discovered in 1888 in North America?",D,Three heads,Beast with three tails,Three-tongued beast,Three horns on the face
Which one of these dinosaurs was bigger than a dog?,D,Saltopus,Parvicursor,Microraptor,Triceratops
"In the scientific classification of animals, what does the term Dinosauria signify?",B,A family,A superorder,A genus,A kingdom
"Fossils of a Velociraptor attacking a Protoceratops, proving that dinosaurs attacked and ate each other, were discovered in which part of the world in 1971?",B,Death Valley,The Gobi Desert,The Balkans,"Bernissart, Belgium"
Which one of these dinosaurs was carnivorous?,A,Eoraptor,Diplodocus,Maiasaura,Triceratops
Which one of these dinosaurs was herbivorous?,B,Velociraptor,Protoceratops,Tyrannosaurus,Allosaurus
No dinosaur fossils have been found on which one of these continents?,D,Antarctica,Europe,Africa,None of these
How many fingers did the Tyrannosaurus rex have on its forelimbs?,D,4,3,5,2
The first evidence of herding behaviour among dinosaurs was discovered in 1878 in which part of the world?,C,USA,Argentina,Belgium,China
"Which one of these statements about the Seismosaurus, the Earth-shaking lizard, is wrong?",C,It could reach 33 meters in length.,It was recognized as a species in 1991.,Its hind legs were shorter than its front legs.,It was herbivorous.
How long is the average lifespan of an elephant?,A,70 years,15 years,110 years,35 years
"Just like humans, apes and dolphins, elephants can recognize themselves in a mirror.",B,False,True,,Q Until what age can the female elephant (called a cow) produce offspring?
Elephants always give birth to twins.,B,True,False,,"Q Elephants express joy by spinning in circles, trumpeting, roaring, screaming, urinating, and flapping their ears. In which of these cases will an elephant not act this way?"
"Elephants sometimes have stillborn births, but are not bothered by the loss since the baby was never alive.",A,False,True,,Q Mammoths are members of the elephant family.
How many species of elephant exist today?,D,1,6,5,3
How many individual muscles are in an elephants trunk?,C,"2,000","10,000","40,000",500
"When swimming, an elephant will use its trunk as a snorkel.",B,False,True,,"Q Elephants intertwine their trunks with the trunks of other elephants, much like a handshake. What does an elephant not do with its trunk?"
"Elephants spend 16 hours a day collecting and eating food, an average of 400 lbs of food a day. But their bodies do not digest 100% of the food. How much of the food does the elephants body digest?",A,40%,80%,60%,20%
"It has been reported that in the period 1992-2008, Ringling Bros. and Barnum  Bailey Circus had at least this many elephant deaths caused by abuse and neglect.",A,24,0,1,7
An elephants brain is half the size of the human brain.,A,False,True,,Q Through what body part can an elephant NOT hear?
"Only female elephants were used in battle, because male elephants were too difficult to tame and train.",A,False,True,,"Q In Islamic history, 570 A.D. was The Year of the Elephant. Which of these happened in that year?"
"An elephants tusks grow continuously, about 7 inches a year.",A,True,False,,Q Which is true about elephants?
What is the only marsupial in the world that has a backwards pouch?,D,kangaroo,echidna,koala,wombat
Salt water crocodiles belong to the amphibian group.,B,True,False,,"Q This reef, that extends along the east coast of Australia, is home to countless animals and is considered one of the wonders of the natural world."
"The female of this species is sometimes called a Blue Flyer, because of its bluish coloration.",C,white heron,emu,red kangaroo,kookaburra
Which one of these is NOT a type of wombat?,C,Common,Southern Hairy Nosed,Arid Central,Northern Hairy Nosed
Echidnas can swim.,A,True,False,,Q The echidnas diet consists mainly of this group of animals.
"Where does the kookaburra, a common Australian bird, get its name from?",B,The food it eats,The aboriginal name for it,Its appearance,The sound it makes
Which of these animals is NOT native to Australia?,C,Frilled-neck lizard,Kangaroo,Dingo,Bilby
What does the word Triceratops mean?,D,Three Big Horns,Big Horned Beast,Three Horned Head,Three Horned Face
Triceratops was a voracious meat eater and would consume hundreds of pounds of meat a day.,B,True,False,,Q How much is Triceratops thought to have weighed?
Is there any evidence that Triceratops lived in herds?,B,Yes,No,,Q In what year was Triceratops first discovered?
Triceratops is the official State Dinosaur of which state?,C,Utah,Oregon,Wyoming,Nevada
Triceratops fossils have been found on three continents.,B,True,False,,Q It is thought that Triceratops was able to run how fast?
The proper spelling of this insect’s name is preying mantis even though it is commonly referred to as praying mantis.,A,False,True,,Q What does the word “mantis” mean?
Female mantes (the plural for mantis) are larger than males.,A,True,False,,Q Can a praying mantis change color?
A large mantis can feed on birds or small mammals.,A,True,False,,Q In what year was the Praying mantis placed on the Endangered Species List?
You can go to jail for intentionally killing a praying mantis as it is an endangered species.,B,False,True,,Q The praying mantis lives only up to one year.
What is the meaning of the name Stegosaurus?,B,Tank Lizard,Roof Lizard,Spike Lizard,Spike Tail
The Stegosaurus had no teeth.,B,True,False,,Q How many bony plates did a Stegosaurus have embedded on its back?
Stegosaurus had a brain about the size of an orange.,B,True,False,,Q What was the length of an average Stegosaurus?
Did the Stegosaurus have more bones in its tail than any other Jurassic Dinosaur?,A,Yes,No,,Q What was the average weight of a Stegosaurus?
The spikes on the tail of a Stegosaurus are called “thagomizers” and are a reference to the Gary Larsons comic strip Far Side.,B,False,True,,Q What was the average height of a stegosaurus?
Stegosaurus had back legs that were twice as long as its front legs.,A,True,False,,Q Stegosaurus had the strongest front legs in the dinosaur world.
How many subspecies of the tiger are left nowadays?,B,8,6,2,3
Is the tiger the largest cat out of the Big Cat group?,B,No,Yes,,Q The Sumatran tiger is the smallest of all tigers.
The Caspian tiger is believed to have become extinct.,B,False,True,,Q How many cubs are usually in a tigers litter?
How long is the gestation period of a tiger?,A,16 weeks,22 weeks,10 weeks,14 weeks
Can tigers swim up to 4 miles?,A,Yes,No,,Q Are tigers known to kill more humans than any other cat?
Turtles can breathe in water.,A,False,True,,Q How many living species of bears are there?
The Coyote is also known as The Prairie Wolf.,A,True,False,,Q Which country does the Clydesdale horse originate from?
What famous beer brand uses the Clydesdale horse as its mascot?,A,Anheuser-Busch,Fosters,Upland,Heineken
"A Clydesdale horse can weight up to 1,000 pounds (500 kg).",B,True,False,,Q Clydesdale horses are known for having white fur covering their hooves on all four of their legs.
What year was the Clydesdale Horse Society formally founded?,C,1925,1901,1887,1885
What class of horse breed does the Clydesdale horse belong to?,A,Draft Horse,Carriage Horse,Farm Horse,Saddle Horse
The Clydesdale is a very active horse.,A,True,False,,Q What year was the Clydesdale horse introduced to North America?
Over 600 Clydesdale horses are registered every year in the United States.,A,True,False,,Q How long does a Clydesdale horse’s pregnancy last?
"This dog breed, which originated in Mongolia and China, has very thick fluffy fur and a blue-black tongue.",A,Chow Chow,Jonangi,Kai Ken,Hokkaido
"The representatives of this dog breed are small, have long white silky fur and are also known as Roman Ladies Dogs.",A,Maltese,Norrbottenspets,Phalene,Mudi
What common name does the dog breed New Guinea Highland Dog have?,A,Singer,Prowler,Wrestler,Swimmer
In what color does the Pekingese dog breed come?,D,Light gold,White,Black,All of these
The Pomeranian female dog should be a little larger than the male.,A,True,False,,Q In what European country did the Rough Collie dog breed originate?
"What dog breed has an elongated body, very short legs, short shiny coat and a long snout?",B,Dogo Guatemalteco,Dachshund,English Foxhound,Elo
This extremely large and tall German dog breed has a very short shiny coat and strong muscular body with a majestic posture.,D,German Mastiff,Boarhound,Great Dane,All of these
In which European country did the Dalmatian dog breed originate?,A,Croatia,Netherlands,Italy,Denmark
"This dog breed, developed in England, has an egg-shaped head, small eyes, and very strong muscular body with smooth short fur and short legs.",A,Bull Terrier,Cairn Terrier,English Shepherd,Wire Fox Terrier
What is the literal meaning of the word carnivore which has a Latin origin?,C,Blood drinker,Animal killer,Meat eater,Monster
Which of these statements is true about carnivorous organisms in general?,B,They feed on vertebrate animals.,All of these,They feed through scavenging.,They feed on invertebrate animals.
What is the meaning of the term apex predator which is related to carnivorous animals?,A,A predator that has no predators itself.,A very skilled predator that is highly specialized in killing animals.,It is a term for a human being.,An animal which consumes the highest number of animal species.
What is the definition of the term hypercarnivore?,D,It is a synonym for apex carnivore.,A predator that feeds on carnivorous animals.,It is a term that refers to humans.,An animal whose diet consists exclusively of meat.
Which of these methods do carnivorous plants use for capturing their prey?,D,Rapid leaf movements,A sticky mucilage,Vacuum sucking into a bladder,All of these
"What does the diet of the Great Blue Heron, found in North and Central America, consist of?",A,All of these,Birds,Reptiles,Small mammals
Which of these statements is true about the diet of coyotes?,C,All of these,60% of their diet consists of mammals.,They eat insects.,They do not eat prairie dogs.
"Which of these characteristics is generally associated with carnivorous animals, particularly predators?",D,Aggressive behavior,Claws,Sharp teeth,All of these
Which of these statements is true about the consumption of plant material by carnivores?,A,All of these,Carnivores consume feces of herbivores to get nutrients.,"Carnivores consume some plant material in order to get minerals, vitamins and fiber.",Carnivores ingest the plant material the need along with their herbivorous prey.
What does the term facultative carnivore mean?,C,It is a synonym for scavenger.,Animal that has all characteristics of carnivores but is a herbivore.,A carnivore that also consumes plant food.,It is a synonym for omnivore.
The box turtle has a hinge on the bottom of its shell.,B,False,True,,Q The average lifespan of a box turtle is about 20 years.
Box turtles are carnivores.,A,False,True,,Q The state of Indiana has strict laws against collecting and capturing box turtles from the wild.
"When a box turtle is taken out of the wild, it can spend years and sometimes its entire life looking for its home.",A,True,False,,Q Male box turtles tend to be larger than females.
Box turtles are safe to eat.,B,True,False,,Q How many box turtle species are there in North America?
Box turtles are the most common terrestrial turtle in the eastern United States.,B,False,True,,Q What color eyes do male box turtles commonly have?
"What city is known as the White Squirrel Capital of the World, since it is home to the largest colony of albino squirrels?",B,"Marionville, Missouri","Olney, Illinois","Columbus, Ohio","Kenton, Tennessee"
Whiteflies generally feed on what?,C,Fruit,Insects,Leaves,Carrion
Which of these white foxes populates the polar zone of the Northern Hemisphere?,C,White Fox,Arctic Fox,All of these,Snow Fox
In what novel one of the main characters is a white whale hunted by a whaling ship?,B,North Against South,Moby-Dick,Twenty Thousand Leagues Under the Sea,The Purchase of the North Pole
"What type of insect is often referred to as a white ant, although it is not related to the ant species?",B,A type of small spider,Termite,Head louse,A type of albino wasp
The White Snake is a fairy tale included in the collection of fairy tales by this author.,B,Andrew Lang,Brothers Grimm,Oscar Wilde,Hans Christian Andersen
What is the meaning of the figurative expression a white elephant?,C,Something that is idolized but that does not exist,An extraordinary person,A pricey and useless possession,A chimera
"The representatives of the Old Danish Pointer breed are white, with markings of this other color on their coat.",B,Grey,Brown,All of these,Black
Which of these dog breeds originated in Hungary?,D,Pumi,Puli,Mudi,All of these
In what Latin American country did the Chihuahua dog breed originate?,A,Mexico,Cuba,Guatemala,Nicaragua
To what group of dog breeds does the Beagle dog breed belong?,D,Terrier group,Toy group,Herding group,Hound group
In what country did the American Akita dog breed originate?,B,Canada,Japan,China,United States
"This dog breed, considered one of the first sighthound dog breeds, has very long fur and is quite tall, with long legs and ears.",C,Canadian Pointer,Bolognese,Afghan Hound,Airedale Terrier
In what northern country did the Siberian Husky dog breed originate?,C,Norway,Finland,Russia,"Alaska, USA"
The Papillon is a small dog breed of the Toy group. What does the word Papillon mean in French?,A,Butterfly,Cherry,Flower,Angel
"This dog, which was once used as a personal defense dog, police dog and war dog, is often mistakenly believed to be very aggressive.",B,Field Spaniel,Doberman Pinscher,Elo,Finnish Spitz
This dog breed was developed as a gun dog in Canada?,D,Mountain Cur,Pharaoh Hound,Lakeland Terrier,Labrador Retriever
Is the cheetah the only animal on land that can turn while running?,A,Yes,No,,Q Cheetahs have been domesticated and tamed.
What is the mortality rate of a cheetah cub growing to adulthood?,D,50% die,15% die,65% die,95% die
What is another name for a nutria?,D,Beaver,Muskrat,Rat,Coypu
Nutrias belong to the rodent family.,A,True,False,,Q The nutria is native to which continent?
What is the average weight of an adult nutria?,D,15-25 lbs.,5-10 lbs.,Over 30 lbs.,10-20 lbs.
Which of the following is a characteristic of the nutria?,C,Webbed front feet,Huge black eyes,Large orange teeth,Flat beaver like tale
The nutria is a herbivorous animal.,A,True,False,,Q What do farmers raise nutrias for?
Nutria meat is lean and low in what?,C,Iron,Sodium,Cholesterol,Fiber
What time of year do nutrias breed?,B,In the winter months,All year round,In the Fall,In the spring
What is a common nickname for the Yorkshire Terriers?,A,Yorkie,They have no nickname.,Yorkle,Shorky
Yorkshire Terrier show dogs have a height standard.,B,True,False,,"Q What is the approximate weight standard, that a Yorkshire Terrier show dog cannot go over?"
Yorkshire Terriers are the smallest breed of dog in the world.,B,True,False,,Q What is the Yorkshire Terriers average lifespan?
What place did the Yorkshire Terrier take in the AKC registered breed popularity in the USA in 2008?,C,1st,50th,2nd,79th
Venomous and poisonous are two different terms. What does the term venomous refer to?,A,Animals that inject venom,Animals that are deadly when eaten,Plants and animals that secrete venom and are harmful when touched,All of these
"Which of these statements is true about the slow loris, a primate which is both poisonous and venomous?",A,All of these,It covers its young with a toxin to keep them from being eaten.,It has a venomous bite.,It secretes a toxin from the glands on the inside of its elbows.
The Brazilian wandering spiders are included in Guinness World Records 2007 as the worlds most venomous spiders. How do they inject their venom?,B,By stinging,By biting,All of these,By urticating hairs
What creature is considered the most venomous on the planet?,C,Fat-tailed scorpion,Killer bee,Box jellyfish,Cone snail
The stonefish is an extremely venomous type of fish that lives in the coastal regions of Indo-Pacific oceans. How does it inject its venom?,D,With its sharp teeth,With its tail fin,With its pectoral fin,With its dorsal fin
"The name of cobras, which are very venomous, comes from the Portuguese cobra de capello. What does this mean?",A,Snake with hood,Poisonous hat,Poisonous nose,Snake with nose
"Venomous mammals do exist, although they are very rare. Which of these mammals is venomous?",C,European Mole,Cuban Solenodon,All of these,Platypus
The Northern Short-tailed Shrew is a small venomous mammal that populates this area.,C,Europe,Central America and the northern parts of South America,North America,North and Northeast Asia
"How do fire ants, a type of venomous ants, introduce their venom?",D,All of these,Through biting,Through biting and then spraying the wound with venom,Through stinging
What kind of animal is the venomous Gila monster that is indigenous to southwestern United States and northern Mexico?,A,Lizard,Invertebrate,Frog,Mammal
What phylum do jellyfish belong to?,C,Arthropoda,Chordata,Cnidaria,Mollusca
Jellyfish are vertebrates.,B,True,False,,Q A sea wasp is a jellyfish.
Which of these body systems do jellyfish NOT have?,D,osmoregulatory,respiratory,circulatory,all of these
What is a group of jellyfish called?,B,herd,bloom,school,pack
Jellyfish are fish.,B,True,False,,Q How is the body of the jellyfish oxygenated?
What is the deadliest jellyfish in the world?,A,Box Jellyfish,Lions Mane Jellyfish,Moon Jellyfish,Sea Nettle
Do adult jellyfish reproduce asexually?,A,No,Yes,,Q Is the wolfs scientific name Canis lupus pallipes?
"According to statistics, how are wolves killed today?",D,By people,By hunters and poachers,By poison and areal hunters,All of these
How many different types of wolves including sub-species are there around the world?,C,Over 100,44,9,3
How long is the female gestation period in wolves?,C,90 days,25 days,63 days,200 days
What is the most amount of wolf pups ever recorded in a litter?,C,4 pups,5 pups,14 pups,10 pups
At what age does a wolf usually leave its pack?,B,5-6 years,2-3 years,1-2 years,3-4 years
Wolves can live in snowy areas at certain times of the year?,B,False,True,,Q Do wolves have a social structure?
"The blue whale is the largest animal, but what is the largest toothed whale on the planet?",D,Cuviers Beaked Whale,Orca,All of these,Sperm whale
What Gorilla is the largest primate on the planet?,C,Mountain Gorilla,Western Lowland Gorilla,Eastern Lowland Gorilla,Cross River Gorilla
What is the largest living bird of prey on the planet?,D,Philippine Eagle,Booted Eagle,Lappet-faced Vulture,Eurasian Black Vulture
What is the largest fish in existence?,B,Manta ray,Whale shark,Ocean sunfish,Basking shark
Name the largest mollusk and the largest invertebrate in the world?,C,Giant African snail,North Pacific Giant Octopus,Colossal squid,Giant squid
What is the largest living terrestrial organism on the planet?,C,African Forest Elephant,Asian Elephant,African Bush Elephant,Indian Elephant
Approximately how much does a typical female vampire bat weigh?,B,8 oz.,1.5 oz.,5 oz.,1 lb.
"Out of 200 vampire bats, approximately how many have rabies?",D,5,25,10,1
What is the average lifespan of a vampire bat?,C,20-25 years,5-10 years,40-50 years,70-80 years
Where are vampire bats mostly found?,B,Australia,"Mexico, Central America and South America",Asia,Africa
Vampire bats have poor eyesight.,A,False,True,,"Q Vampire bats can be quite tame, and even friendly to humans."
Vampire bats blood-sucking does not hurt the bitten animal.,B,False,True,,Q A vampire bat will die if it doesnt find blood for how many nights in a row?
Do vampire bats ever roost alone?,B,No,Yes,,Q How do wolves mark their territory?
What actor directed and starred in the popular 1990 movie Dances with Wolves?,B,Sean Connery,Kevin Costner,Mel Gibson,Harrison Ford
What is the largest wolf species on the planet as well as the largest wild representative of the Canidae family?,A,Grey wolf,Polar wolf,Black wolf,Red wolf
"Wolf pups are usually born with irises of this color, which changes with time.",D,Black,Golden,Green,Blue
"What animal is considered the major enemy of the wolf in the wild, apart from humans?",B,Bear,Other wolves,Eagle,None of these
What type of wolf is White Fang from Jack Londons popular novel White Fang?,C,Grey wolf,White wolf,Wolf hybrid,Red wolf
Wolves do not wag their tails as dogs do when they are happy.,A,False,True,,Q In what European city is the popular bronze statue Capitoline Wolf located?
What animals do wolves generally prefer to feed on?,D,Rodents,Birds,Fish,Ungulates
To what continent is the unique Maned Wolf endemic?,C,Asia,Africa,South America,Europe
Which animals have the most unique species endemic to Australia?,A,Amphibians,Mammals,Insects,Reptiles
Which of these statements about the Australian fauna is true?,C,Australia is the only continent that has more venomous than non-venomous snake species,Two of the five known species of monotremes live in Australia,All of these,Placental mammals are relatively rare in Australia
What animal is the largest macropod and one of Australias heraldic animals?,B,Pademelon,Red kangaroo,Grey kangaroo,Quokka
What kind of animal is the Spotted wobbegong?,A,Fish,Reptile,Amphibian,Marsupial
"What is the common name of the Quoll, a carnivorous marsupial native to Australia and Papua New Guinea?",A,Native cat,Native rat,Native fox,Native dog
Which of these areas is the Black Salamander endemic to?,B,Hawaii,United States,Australia,India
Which of these statements is true about the Western black widow spider?,B,The female always eats the male after mating.,It is extremely venomous.,It is native to Madagascar.,All of these
"What type of food does the Lesser Vasa Parrot, also known as Black Parrot, feed on?",A,Fruit,Insects,All of these,Carrion
How did the Black Mamba snake get its name?,C,Because of its color,Because its eggs are black,Because its mouth is black,Because its venom is black
"Which of these names refers to the Asian black bear, a close relative of the American black bear?",B,Himalayan black bear,All of these,Tibetan black bear,Moon bear
The Black wolf is actually a color variant of which wolf species?,D,White wolf,None of these,Brown wolf,Grey wolf
"The name Lumbriculus variegatus, or blackworm, refers to a few worm species. In what way do they reproduce?",D,By parthenogenesis,With eggs,All of these,By regeneration
"Which of these statements is true about the Black dog, a ghost-like creature popular in the folklores of the British Isles?",D,It is believed to appear at night.,It is associated with the Devil.,It is considered a portent of death.,All of these
Which of these statements is true about the Black garden ant?,C,Each colony has only one queen.,It is found in Europe.,All of these,It is found in North America and Asia.
Which of these statements is true about the Black Iberian Pig?,A,It is indigenous to the Mediterranean.,It is a rodent.,All of these,It is not actually black.
What animal is is the only strictly-marine herbivorous mammal in the world?,B,Dugong,All of these,Sea pig,Sea cow
This animal is considered a marine mammal because it lives on the sea ice most of the year.,A,Polar bear,All of these,Walrus,Polar fox
